11-9051,Food Service Managers,"2,146","2,137",-0.4%,42,$15.66,$21.79,http://online.onetcenter.org/link/summary/11-9051.00,Food Service Managers,High School
49-9041,Industrial Machinery Mechanics,"1,114","1,157",3.9%,20,$15.37,$19.40,http://online.onetcenter.org/link/summary/49-9041.00,Industrial Machinery Mechanics,High School
11-3051,Industrial Production Managers,656,579,-11.7%,23,$24.81,$37.40,http://online.onetcenter.org/link/summary/11-3051.00,Industrial Production Managers,High School
43-9041,Insurance Claims and Policy Processing Clerks,"1,788","1,695",-5.2%,23,$13.03,$16.13,http://online.onetcenter.org/link/summary/43-9041.00,Insurance Claims and Policy Processing Clerks,High School
13-2072,Loan Officers,"1,480","1,523",2.9%,20,$15.73,$23.86,http://online.onetcenter.org/link/summary/13-2072.00,Loan Officers,High School
11-9081,Lodging Managers,997,"1,033",3.6%,25,$14.58,$21.87,http://online.onetcenter.org/link/summary/11-9081.00,Lodging Managers,High School
51-4041,Machinists,"1,923","1,932",0.5%,26,$14.45,$18.83,http://online.onetcenter.org/link/summary/51-4041.00,Machinists,High School
49-9042,"Maintenance and Repair Workers, General","5,182","5,446",5.1%,106,$11.91,$16.41,http://online.onetcenter.org/link/summary/49-9042.00,"Maintenance and Repair Workers, General",High School
11-9199,"Managers, All Other","2,637","2,654",0.6%,70,$23.04,$32.26,http://online.onetcenter.org/link/summary/11-9199.00,"Managers, All Other",High School
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","1,025","1,044",1.9%,22,$14.44,$18.50,http://online.onetcenter.org/link/summary/49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",High School
47-2073,Operating Engineers and Other Construction Equipment Operators,"2,213","2,238",1.1%,41,$13.32,$16.06,http://online.onetcenter.org/link/summary/47-2073.00,Operating Engineers and Other Construction Equipment Operators,High School
47-2141,"Painters, Construction and Maintenance","3,440","3,444",0.1%,59,$12.71,$18.35,http://online.onetcenter.org/link/summary/47-2141.00,"Painters, Construction and Maintenance",High School
47-2152,"Plumbers, Pipefitters, and Steamfitters","2,749","2,656",-3.4%,55,$14.98,$20.40,http://online.onetcenter.org/link/summary/47-2152.00,"Plumbers, Pipefitters, and Steamfitters",High School
33-3051,Police and Sheriff's Patrol Officers,"2,122","2,164",2.0%,59,$14.09,$19.65,http://online.onetcenter.org/link/summary/33-3051.00,Police and Sheriff's Patrol Officers,High School
43-5031,"Police, Fire, and Ambulance Dispatchers",763,847,11.0%,24,$13.19,$16.52,http://online.onetcenter.org/link/summary/43-5031.00,"Police, Fire, and Ambulance Dispatchers",High School
51-8013,Power Plant Operators,413,474,14.8%,20,$17.27,$25.55,http://online.onetcenter.org/link/summary/51-8013.00,Power Plant Operators,High School
