High Growth,SOC Code,SOCTitle,Base Empl,Proj Empl,Percent Change,Total Openings,2011 Entry Wage,2011 Median Wage,Education/ Training Required,URL,O*NET Summary Report URL
,49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers","2,234","2,257",1.0,61,$18.45,$25.06,High school diploma or equivalent,http://www.onetonline.org/link/summary/49-1011.00,http://www.onetonline.org/link/summary/49-1011.00
X,29-2061,Licensed Practical and Licensed Vocational Nurses,"1,666","1,804",8.3,58,$15.34,$19.32,Postsecondary non-degree award,http://www.onetonline.org/link/summary/29-2061.00,http://www.onetonline.org/link/summary/29-2061.00
,51-4121,"Welders, Cutters, Solderers, and Brazers","1,866","1,937",3.8,57,$13.76,$18.83,High school diploma or equivalent,http://www.onetonline.org/link/summary/51-4121.00,http://www.onetonline.org/link/summary/51-4121.00
X,29-2037,Radiologic Technologists and Technicians,"1,072","1,467",36.9,57,$20.99,$26.38,Associate's degree,http://www.onetonline.org/link/summary/29-2037.00,http://www.onetonline.org/link/summary/29-2037.00
X,47-2073,Operating Engineers and Other Construction Equipment Operators,"1,582","1,768",11.8,56,$13.00,$17.19,High school diploma or equivalent,http://www.onetonline.org/link/summary/47-2073.00,http://www.onetonline.org/link/summary/47-2073.00
,11-3031,Financial Managers,"2,833","2,874",1.5,56,$23.46,$35.37,Bachelor's degree,http://www.onetonline.org/link/summary/11-3031.00,http://www.onetonline.org/link/summary/11-3031.00
,47-2141,"Painters, Construction and Maintenance","2,466","2,453",-0.5,54,$14.47,$19.65,Less than high school,http://www.onetonline.org/link/summary/47-2141.00,http://www.onetonline.org/link/summary/47-2141.00
X,29-1051,Pharmacists,"1,322","1,510",14.2,53,$50.41,$61.99,Doctoral or professional degree,http://www.onetonline.org/link/summary/29-1051.00,http://www.onetonline.org/link/summary/29-1051.00
,43-5052,Postal Service Mail Carriers,"1,584","1,561",-1.5,52,$18.43,$24.68,High school diploma or equivalent,http://www.onetonline.org/link/summary/43-5052.00,http://www.onetonline.org/link/summary/43-5052.00
X,21-1023,Mental Health and Substance Abuse Social Workers,"1,607","1,737",8.1,51,$14.85,$19.04,Bachelor's degree,http://www.onetonline.org/link/summary/21-1023.00,http://www.onetonline.org/link/summary/21-1023.00
